DealID,CustomerID,SalespersonID,InterestedVehicleClass,BudgetRange,Status,UrgencyLevel,HealthScore,LowerBenchmark,UpperBenchmark,InteractionCount,StartDate,LastContactDate,PointOfFailure,IntendedPurchaseTimeframe,IntendedPurchaseJourney,PastInquiryHistory,PreferredCommunication,HomeLocation,LeadSource,LoyaltyStatus,AgeGroup,Gender,Profession,CustomerSegment,DealStageHistory,AssignedBranch,ClosingDate,DealNotes,FollowUpRequired,DiscountOffered,ReEngagementAttempted
D0011,CUST0511,SALESP011,EV,"$51,686-$68,429",pass,High,91,56,66,5,2025-09-23,2025-10-23,,immediate,research,No prior history,call,"Various, USA",walk-in,returning customer,36-50,Female,Not specified,loyal,"[[""lead"", ""2025-09-23""], [""contacted"", ""2025-09-25""], [""appointment"", ""2025-09-26""], [""proposal"", ""2025-09-27""], [""negotiation"", ""2025-09-29""], [""sold"", ""2025-10-01""]]",Downtown,2025-10-23,"Smooth transaction, customer very satisfied",no,$942,no
D0012,CUST0071,SALESP026,SUV,"$33,178-$49,204",pass,High,95,56,73,2,2025-07-24,2025-08-30,,1-3 months,book appointment,"Looked at 2022 Corolla, purchased",email,"Fresno, CA",walk-in,returning customer,65+,Male,Pharmacist,price-sensitive,"[[""lead"", ""2025-07-24""], [""contacted"", ""2025-07-26""], [""appointment"", ""2025-07-28""], [""proposal"", ""2025-07-30""], [""negotiation"", ""2025-07-31""], [""sold"", ""2025-08-02""]]",Main Street,2025-08-30,"Smooth transaction, customer very satisfied",no,"$1,501",no
D0013,CUST0376,SALESP010,used,"$20,361-$27,665",fail,Medium,48,52,85,9,2026-01-04,2026-01-01,financing terms,1-3 months,trade-in,"Looked at 2021 Camry, still considering",email,"Columbus, OH",web,new customer,65+,Female,Entrepreneur,price-sensitive,"[[""lead"", ""2026-01-04""], [""contacted"", ""2026-01-07""], [""appointment"", ""2026-01-11""], [""proposal"", ""2026-01-14""], [""negotiation"", ""2026-01-16""], [""lost"", ""2026-01-01""]]",Downtown,,Unable to agree on acceptable financing terms,pending,$0,no
D0014,CUST0514,SALESP082,SUV,"$68,752-$89,796",pass,Critical,65,43,71,3,2025-05-21,2025-06-20,,<1 month,compare deals,No prior history,WhatsApp,"Various, USA",walk-in,new customer,26-35,Male,Not specified,luxury,"[[""lead"", ""2025-05-21""], [""contacted"", ""2025-05-22""], [""appointment"", ""2025-05-24""], [""proposal"", ""2025-05-25""], [""negotiation"", ""2025-05-26""], [""sold"", ""2025-05-28""]]",Airport,2025-06-20,Upgraded to higher trim level,no,"$1,998",no
D0015,CUST0198,SALESP036,sports,"$59,189-$80,680",fail,Medium,38,51,84,5,2025-07-02,2025-08-04,lost interest,just exploring,research,"Looked at 2022 RAV4, did not purchase",email,"Austin, TX",walk-in,new customer,36-50,Female,Lawyer,luxury,"[[""lead"", ""2025-07-02""], [""contacted"", ""2025-07-05""], [""lost"", ""2025-08-04""]]",Airport,,Customer decided to postpone purchase indefinitely,yes,"$2,262",yes
D0016,CUST0071,SALESP069,SUV,"$33,178-$49,204",fail,Low,35,69,77,12,2025-08-22,2025-09-29,credit,1-3 months,book appointment,"Looked at 2022 Corolla, purchased",email,"Fresno, CA",walk-in,returning customer,65+,Male,Pharmacist,price-sensitive,"[[""lead"", ""2025-08-22""], [""contacted"", ""2025-08-25""], [""appointment"", ""2025-08-28""], [""proposal"", ""2025-08-31""], [""negotiation"", ""2025-09-03""], [""lost"", ""2025-09-29""]]",North Branch,,"Credit application denied, unable to secure financing",yes,$759,yes
D0017,CUST0517,SALESP053,EV,"$54,017-$67,506",pass,Medium,69,52,68,5,2025-04-20,2025-06-21,,just exploring,trade-in,No prior history,WhatsApp,"Various, USA",web,new customer,26-35,Female,Not specified,loyal,"[[""lead"", ""2025-04-20""], [""contacted"", ""2025-04-22""], [""appointment"", ""2025-04-25""], [""proposal"", ""2025-04-28""], [""negotiation"", ""2025-05-01""], [""sold"", ""2025-05-05""]]",South Branch,2025-06-21,"Negotiated on price, final discount applied",no,"$1,121",no
D0018,CUST0309,SALESP090,sports,"$58,799-$83,618",fail,Low,25,70,76,5,2025-08-01,2025-08-30,lost interest,just exploring,trade-in,"Looked at 2022 RAV4, did not purchase",text,"Columbus, OH",web,returning customer,36-50,Female,Sales Manager,loyal,"[[""lead"", ""2025-08-01""], [""contacted"", ""2025-08-04""], [""lost"", ""2025-08-30""]]",South Branch,,Customer decided to postpone purchase indefinitely,yes,$0,no
D0019,CUST0519,SALESP032,sedan,"$24,562-$36,888",fail,Low,32,65,85,6,2025-07-28,2025-08-22,lost interest,just exploring,research,No prior history,text,"Various, USA",OEM feed,returning customer,36-50,Male,Not specified,luxury,"[[""lead"", ""2025-07-28""], [""contacted"", ""2025-07-31""], [""appointment"", ""2025-08-04""], [""proposal"", ""2025-08-09""], [""negotiation"", ""2025-08-13""], [""lost"", ""2025-08-22""]]",South Branch,,Customer decided to postpone purchase indefinitely,yes,$0,no
D0020,CUST0478,SALESP060,EV,"$48,316-$62,621",pass,Medium,79,43,69,6,2025-10-03,2025-12-02,,1-3 months,book appointment,"Looked at 2023 Model 3, purchased",email,"San Jose, CA",web,returning customer,36-50,Male,Designer,loyal,"[[""lead"", ""2025-10-03""], [""contacted"", ""2025-10-05""], [""appointment"", ""2025-10-12""], [""proposal"", ""2025-10-14""], [""negotiation"", ""2025-10-19""], [""sold"", ""2025-10-23""]]",South Branch,2025-12-02,Upgraded to higher trim level,no,"$1,451",no
D0021,CUST0417,SALESP060,SUV,"$38,056-$48,081",pass,Medium,85,53,71,6,2025-02-13,2025-03-16,,1-3 months,trade-in,"Looked at 2021 F-150, did not purchase",text,"Tucson, AZ",web,returning customer,36-50,Male,Financial Advisor,loyal,"[[""lead"", ""2025-02-13""], [""contacted"", ""2025-02-16""], [""appointment"", ""2025-02-21""], [""proposal"", ""2025-02-25""], [""negotiation"", ""2025-03-03""], [""sold"", ""2025-03-08""]]",North Branch,2025-03-16,Upgraded to higher trim level,no,"$1,255",no
D0022,CUST0445,SALESP031,sedan,"$33,169-$47,020",pass,Critical,80,60,74,2,2025-10-03,2025-10-10,,immediate,trade-in,"Looked at 2023 Model 3, did not purchase",email,"Los Angeles, CA",walk-in,new customer,18-25,Female,Chef,first-time,"[[""lead"", ""2025-10-03""], [""contacted"", ""2025-10-04""], [""appointment"", ""2025-10-06""], [""proposal"", ""2025-10-08""], [""negotiation"", ""2025-10-10""], [""sold"", ""2025-10-11""]]",South Branch,2025-10-10,"Repeat customer, easy close",no,$848,no
D0023,CUST0523,SALESP001,used,"$17,295-$24,062",pass,Medium,82,51,75,3,2025-06-26,2025-07-16,,immediate,research,No prior history,email,"Various, USA",OEM feed,returning customer,51-65,Female,Not specified,price-sensitive,"[[""lead"", ""2025-06-26""], [""contacted"", ""2025-06-29""], [""appointment"", ""2025-07-04""], [""proposal"", ""2025-07-06""], [""negotiation"", ""2025-07-10""], [""sold"", ""2025-07-13""]]",South Branch,2025-07-16,Upgraded to higher trim level,no,"$1,938",no
D0024,CUST0031,SALESP125,sports,"$48,850-$86,484",pass,Critical,66,47,73,5,2025-12-30,2026-01-02,,immediate,finance inquiry,"Looked at 2021 Camry, did not purchase",call,"Fresno, CA",web,new customer,36-50,Male,Operations Manager,luxury,"[[""lead"", ""2025-12-30""], [""contacted"", ""2025-12-31""], [""appointment"", ""2026-01-03""], [""proposal"", ""2026-01-04""], [""negotiation"", ""2026-01-06""], [""sold"", ""2026-01-07""]]",Airport,2026-01-29,"Negotiated on price, final discount applied",no,"$2,878",no
D0025,CUST0223,SALESP077,SUV,"$38,470-$57,218",fail,High,37,51,90,12,2025-07-08,2025-08-31,vehicle condition,<1 month,finance inquiry,"Looked at 2022 RAV4, still considering",text,"Jacksonville, FL",OEM feed,new customer,36-50,Female,Pharmacist,first-time,"[[""lead"", ""2025-07-08""], [""contacted"", ""2025-07-09""], [""lost"", ""2025-08-31""]]",Downtown,,Customer had concerns about vehicle condition,yes,$0,pending
D0026,CUST0418,SALESP008,used,"$15,143-$22,267",pass,Medium,91,55,74,4,2025-03-30,2025-06-15,,1-3 months,compare deals,"Looked at 2020 Explorer, did not purchase",email,"Denver, CO",web,returning customer,26-35,Male,Marketing Manager,price-sensitive,"[[""lead"", ""2025-03-30""], [""contacted"", ""2025-03-31""], [""appointment"", ""2025-04-05""], [""proposal"", ""2025-04-07""], [""negotiation"", ""2025-04-12""], [""sold"", ""2025-04-16""]]",Main Street,2025-06-15,"Negotiated on price, final discount applied",no,"$1,836",no
D0027,CUST0088,SALESP006,sedan,"$22,828-$33,132",pass,High,69,44,74,2,2025-03-01,2025-04-13,,immediate,trade-in,"Looked at 2023 Mustang, did not purchase",text,"Nashville, TN",OEM feed,in-service customer,65+,Female,HR Manager,loyal,"[[""lead"", ""2025-03-01""], [""contacted"", ""2025-03-03""], [""appointment"", ""2025-03-06""], [""proposal"", ""2025-03-08""], [""negotiation"", ""2025-03-10""], [""sold"", ""2025-03-12""]]",South Branch,2025-04-13,"Negotiated on price, final discount applied",no,"$1,809",no
D0028,CUST0293,SALESP070,sedan,"$22,746-$35,604",pass,Critical,74,43,72,2,2025-06-27,2025-07-21,,<1 month,book appointment,"Looked at 2023 Model 3, did not purchase",WhatsApp,"Denver, CO",web,new customer,26-35,Male,Accountant,fleet/corporate,"[[""lead"", ""2025-06-27""], [""contacted"", ""2025-06-29""], [""appointment"", ""2025-07-02""], [""proposal"", ""2025-07-04""], [""negotiation"", ""2025-07-05""], [""sold"", ""2025-07-06""]]",Airport,2025-07-21,"Repeat customer, easy close",no,"$1,634",no
D0029,CUST0529,SALESP095,SUV,"$41,830-$55,140",pass,Medium,88,44,68,3,2025-11-03,2026-01-04,,1-3 months,finance inquiry,No prior history,email,"Various, USA",OEM feed,in-service customer,51-65,Male,Not specified,first-time,"[[""lead"", ""2025-11-03""], [""contacted"", ""2025-11-06""], [""appointment"", ""2025-11-09""], [""proposal"", ""2025-11-14""], [""negotiation"", ""2025-11-19""], [""sold"", ""2025-11-21""]]",Airport,2026-01-26,"Negotiated on price, final discount applied",no,$950,no
D0030,CUST0530,SALESP085,SUV,"$43,300-$54,248",pass,Critical,86,60,71,3,2025-10-18,2025-10-28,,<1 month,trade-in,No prior history,email,"Various, USA",OEM feed,new customer,36-50,Female,Not specified,loyal,"[[""lead"", ""2025-10-18""], [""contacted"", ""2025-10-19""], [""appointment"", ""2025-10-22""], [""proposal"", ""2025-10-24""], [""negotiation"", ""2025-10-26""], [""sold"", ""2025-10-27""]]",Main Street,2025-10-28,"Smooth transaction, customer very satisfied",no,"$1,517",no
D0031,CUST0531,SALESP036,SUV,"$66,611-$85,259",fail,High,42,67,90,10,2025-12-17,2025-12-30,financing terms,1-3 months,trade-in,No prior history,email,"Various, USA",web,new customer,26-35,Female,Not specified,luxury,"[[""lead"", ""2025-12-17""], [""contacted"", ""2025-12-20""], [""lost"", ""2025-12-30""]]",South Branch,,Unable to agree on acceptable financing terms,yes,"$2,030",pending
D0032,CUST0344,SALESP003,SUV,"$43,677-$58,280",fail,Low,51,51,84,7,2025-06-19,2025-07-26,price,just exploring,compare deals,"Looked at 2021 Accord, still considering",call,"Detroit, MI",OEM feed,returning customer,18-25,Male,Customer Service Rep,price-sensitive,"[[""lead"", ""2025-06-19""], [""contacted"", ""2025-06-22""], [""lost"", ""2025-07-26""]]",Main Street,,Customer wanted larger discount than we could offer,yes,$0,pending
D0033,CUST0323,SALESP048,sedan,"$34,530-$48,374",pass,High,72,60,71,4,2025-07-09,2025-07-24,,<1 month,book appointment,"Looked at 2021 F-150, did not purchase",text,"Denver, CO",referral,new customer,26-35,Female,Plumber,price-sensitive,"[[""lead"", ""2025-07-09""], [""contacted"", ""2025-07-11""], [""appointment"", ""2025-07-13""], [""proposal"", ""2025-07-15""], [""negotiation"", ""2025-07-17""], [""sold"", ""2025-07-19""]]",South Branch,2025-07-24,"Repeat customer, easy close",no,"$1,997",no
D0034,CUST0090,SALESP033,sedan,"$29,487-$38,707",pass,Low,94,45,73,6,2025-11-08,2025-11-30,,just exploring,finance inquiry,"Looked at 2020 Explorer, did not purchase",text,"Tucson, AZ",web,in-service customer,18-25,Male,Teacher,price-sensitive,"[[""lead"", ""2025-11-08""], [""contacted"", ""2025-11-09""], [""appointment"", ""2025-11-15""], [""proposal"", ""2025-11-20""], [""negotiation"", ""2025-11-26""], [""sold"", ""2025-11-29""]]",Downtown,2025-11-30,Customer appreciated responsive service,no,$375,no
D0035,CUST0535,SALESP095,SUV,"$34,979-$50,084",pass,High,71,56,69,3,2025-01-23,2025-03-09,,1-3 months,research,No prior history,email,"Various, USA",web,new customer,36-50,Female,Not specified,first-time,"[[""lead"", ""2025-01-23""], [""contacted"", ""2025-01-24""], [""appointment"", ""2025-01-27""], [""proposal"", ""2025-01-28""], [""negotiation"", ""2025-01-30""], [""sold"", ""2025-01-31""]]",Main Street,2025-03-09,Financing approved quickly,no,"$1,459",no
D0036,CUST0536,SALESP034,used,"$23,971-$32,208",pass,High,84,50,70,3,2025-09-18,2025-10-22,,<1 month,research,No prior history,WhatsApp,"Various, USA",walk-in,in-service customer,18-25,Female,Not specified,price-sensitive,"[[""lead"", ""2025-09-18""], [""contacted"", ""2025-09-21""], [""appointment"", ""2025-09-23""], [""proposal"", ""2025-09-25""], [""negotiation"", ""2025-09-27""], [""sold"", ""2025-09-29""]]",South Branch,2025-10-22,Financing approved quickly,no,"$1,058",no
D0037,CUST0068,SALESP138,sedan,"$26,655-$36,719",fail,High,37,57,88,10,2025-04-16,2025-04-30,credit,immediate,compare deals,"Looked at 2022 CR-V, purchased",text,"Portland, OR",web,returning customer,18-25,Male,Engineer,price-sensitive,"[[""lead"", ""2025-04-16""], [""contacted"", ""2025-04-17""], [""lost"", ""2025-04-30""]]",South Branch,,"Credit application denied, unable to secure financing",yes,$0,no
D0038,CUST0458,SALESP052,EV,"$52,772-$74,832",pass,High,90,42,72,4,2025-07-12,2025-08-14,,<1 month,research,"Looked at 2022 CR-V, purchased",text,"San Antonio, TX",walk-in,in-service customer,51-65,Male,Teacher,loyal,"[[""lead"", ""2025-07-12""], [""contacted"", ""2025-07-14""], [""appointment"", ""2025-07-15""], [""proposal"", ""2025-07-16""], [""negotiation"", ""2025-07-17""], [""sold"", ""2025-07-19""]]",North Branch,2025-08-14,Customer appreciated responsive service,no,$518,no
D0039,CUST0005,SALESP079,sports,"$54,038-$93,159",fail,Low,59,60,76,4,2025-07-07,2025-08-22,lost interest,just exploring,finance inquiry,"Looked at 2020 Explorer, went with competitor",email,"Boston, MA",web,new customer,36-50,Female,Entrepreneur,luxury,"[[""lead"", ""2025-07-07""], [""contacted"", ""2025-07-10""], [""appointment"", ""2025-07-14""], [""proposal"", ""2025-07-19""], [""negotiation"", ""2025-07-26""], [""lost"", ""2025-08-22""]]",Downtown,,Customer decided to postpone purchase indefinitely,no,"$2,298",yes
D0040,CUST0194,SALESP074,SUV,"$68,189-$88,396",fail,Medium,47,60,82,12,2025-04-25,2025-05-24,financing terms,1-3 months,book appointment,"Looked at 2022 CR-V, did not purchase",WhatsApp,"Milwaukee, WI",web,returning customer,51-65,Male,Electrician,luxury,"[[""lead"", ""2025-04-25""], [""contacted"", ""2025-04-27""], [""lost"", ""2025-05-24""]]",Main Street,,Unable to agree on acceptable financing terms,pending,"$2,153",no
D0041,CUST0541,SALESP011,sports,"$54,890-$74,997",pass,High,68,49,72,5,2025-01-17,2025-02-14,,<1 month,research,No prior history,text,"Various, USA",web,returning customer,36-50,Female,Not specified,loyal,"[[""lead"", ""2025-01-17""], [""contacted"", ""2025-01-20""], [""appointment"", ""2025-01-21""], [""proposal"", ""2025-01-22""], [""negotiation"", ""2025-01-24""], [""sold"", ""2025-01-26""]]",Airport,2025-02-14,Financing approved quickly,no,"$1,715",no
D0042,CUST0542,SALESP083,SUV,"$41,551-$58,973",pass,High,92,52,72,5,2025-03-17,2025-04-03,,1-3 months,research,No prior history,WhatsApp,"Various, USA",web,returning customer,18-25,Female,Not specified,loyal,"[[""lead"", ""2025-03-17""], [""contacted"", ""2025-03-18""], [""appointment"", ""2025-03-20""], [""proposal"", ""2025-03-21""], [""negotiation"", ""2025-03-23""], [""sold"", ""2025-03-25""]]",Downtown,2025-04-03,Financing approved quickly,no,$663,no
D0043,CUST0543,SALESP057,used,"$20,197-$29,210",pass,High,67,41,66,5,2025-04-07,2025-04-24,,1-3 months,compare deals,No prior history,text,"Various, USA",web,returning customer,65+,Female,Not specified,first-time,"[[""lead"", ""2025-04-07""], [""contacted"", ""2025-04-10""], [""appointment"", ""2025-04-13""], [""proposal"", ""2025-04-14""], [""negotiation"", ""2025-04-16""], [""sold"", ""2025-04-18""]]",Main Street,2025-04-24,Customer appreciated responsive service,no,"$1,451",no
D0044,CUST0154,SALESP027,used,"$15,300-$21,368",fail,Critical,39,56,84,6,2025-03-04,2025-04-01,price,immediate,compare deals,"Looked at 2021 F-150, did not purchase",WhatsApp,"Detroit, MI",web,new customer,18-25,Female,Executive,first-time,"[[""lead"", ""2025-03-04""], [""contacted"", ""2025-03-06""], [""appointment"", ""2025-03-11""], [""lost"", ""2025-04-01""]]",Airport,,Customer wanted larger discount than we could offer,yes,$0,pending
D0045,CUST0175,SALESP066,sedan,"$25,707-$39,388",fail,Low,46,57,82,12,2025-03-28,2025-05-02,price,just exploring,finance inquiry,"Looked at 2021 Camry, did not purchase",WhatsApp,"Detroit, MI",web,new customer,18-25,Female,Lawyer,price-sensitive,"[[""lead"", ""2025-03-28""], [""contacted"", ""2025-03-30""], [""appointment"", ""2025-04-03""], [""lost"", ""2025-05-02""]]",Airport,,Customer wanted larger discount than we could offer,yes,$0,no
D0046,CUST0089,SALESP041,used,"$19,378-$28,882",pass,High,88,56,69,5,2025-09-27,2025-10-09,,1-3 months,research,"Looked at 2023 Mustang, purchased",call,"Houston, TX",referral,new customer,26-35,Male,Nurse,price-sensitive,"[[""lead"", ""2025-09-27""], [""contacted"", ""2025-09-29""], [""appointment"", ""2025-10-02""], [""proposal"", ""2025-10-03""], [""negotiation"", ""2025-10-05""], [""sold"", ""2025-10-06""]]",North Branch,2025-10-09,"Negotiated on price, final discount applied",no,$702,no
D0047,CUST0006,SALESP037,used,"$13,876-$23,274",pass,Low,84,42,65,7,2025-12-08,2026-01-01,,just exploring,research,"Looked at 2021 Accord, purchased",email,"San Diego, CA",web,new customer,65+,Female,Pharmacist,price-sensitive,"[[""lead"", ""2025-12-08""], [""contacted"", ""2025-12-09""], [""appointment"", ""2025-12-12""], [""proposal"", ""2025-12-15""], [""negotiation"", ""2025-12-21""], [""sold"", ""2025-12-24""]]",Main Street,2026-01-24,"Negotiated on price, final discount applied",no,"$1,650",no
D0048,CUST0130,SALESP083,EV,"$41,877-$65,159",fail,Low,34,52,76,6,2025-09-13,2025-10-29,lost interest,just exploring,finance inquiry,"Looked at 2020 Explorer, purchased",email,"Columbus, OH",web,in-service customer,51-65,Female,IT Support,loyal,"[[""lead"", ""2025-09-13""], [""contacted"", ""2025-09-14""], [""appointment"", ""2025-09-17""], [""proposal"", ""2025-09-19""], [""negotiation"", ""2025-09-22""], [""lost"", ""2025-10-29""]]",Main Street,,Customer decided to postpone purchase indefinitely,yes,$0,no
D0049,CUST0549,SALESP068,sedan,"$36,686-$49,527",pass,Critical,79,46,75,4,2025-05-24,2025-06-12,,immediate,book appointment,No prior history,call,"Various, USA",OEM feed,returning customer,51-65,Male,Not specified,price-sensitive,"[[""lead"", ""2025-05-24""], [""contacted"", ""2025-05-25""], [""appointment"", ""2025-05-28""], [""proposal"", ""2025-05-29""], [""negotiation"", ""2025-05-31""], [""sold"", ""2025-06-01""]]",Main Street,2025-06-12,"Repeat customer, easy close",no,$460,no
D0050,CUST0550,SALESP019,used,"$17,835-$27,779",fail,High,24,56,89,5,2025-02-16,2025-03-18,lost interest,immediate,book appointment,No prior history,WhatsApp,"Various, USA",referral,returning customer,36-50,Female,Not specified,price-sensitive,"[[""lead"", ""2025-02-16""], [""contacted"", ""2025-02-18""], [""lost"", ""2025-03-18""]]",Downtown,,Customer decided to postpone purchase indefinitely,yes,$615,yes
D0051,CUST0448,SALESP045,used,"$18,997-$24,420",pass,Low,86,51,71,4,2025-08-12,2025-10-18,,just exploring,trade-in,"Looked at 2022 CR-V, did not purchase",WhatsApp,"Mesa, AZ",web,new customer,26-35,Male,Marketing Manager,price-sensitive,"[[""lead"", ""2025-08-12""], [""contacted"", ""2025-08-13""], [""appointment"", ""2025-08-18""], [""proposal"", ""2025-08-22""], [""negotiation"", ""2025-08-27""], [""sold"", ""2025-08-31""]]",South Branch,2025-10-18,Upgraded to higher trim level,no,$963,no
D0052,CUST0552,SALESP017,sedan,"$29,809-$44,392",pass,Medium,74,51,67,6,2025-11-07,2025-12-30,,<1 month,research,No prior history,text,"Various, USA",walk-in,returning customer,18-25,Male,Not specified,loyal,"[[""lead"", ""2025-11-07""], [""contacted"", ""2025-11-10""], [""appointment"", ""2025-11-15""], [""proposal"", ""2025-11-17""], [""negotiation"", ""2025-11-20""], [""sold"", ""2025-11-23""]]",Downtown,2026-02-01,"Repeat customer, easy close",no,$552,no
D0053,CUST0553,SALESP081,used,"$15,133-$20,776",fail,Medium,29,64,78,5,2025-05-14,2025-06-19,financing terms,<1 month,book appointment,No prior history,WhatsApp,"Various, USA",web,new customer,18-25,Male,Not specified,price-sensitive,"[[""lead"", ""2025-05-14""], [""contacted"", ""2025-05-15""], [""appointment"", ""2025-05-17""], [""proposal"", ""2025-05-22""], [""negotiation"", ""2025-05-29""], [""lost"", ""2025-06-19""]]",Main Street,,Unable to agree on acceptable financing terms,yes,$0,yes
D0054,CUST0554,SALESP006,SUV,"$42,190-$57,295",fail,Critical,47,67,85,7,2025-08-06,2025-09-05,trade-in,immediate,research,No prior history,email,"Various, USA",walk-in,returning customer,26-35,Male,Not specified,loyal,"[[""lead"", ""2025-08-06""], [""contacted"", ""2025-08-07""], [""appointment"", ""2025-08-14""], [""proposal"", ""2025-08-17""], [""negotiation"", ""2025-08-23""], [""lost"", ""2025-09-05""]]",South Branch,,Trade-in valuation did not meet customer expectations,pending,$0,pending
